run_id,run_label,order_sequencing,tote_sequencing,item_sequencing,total_time,avg_order_time,num_orders,total_orders_expected,all_orders_completed,flawed_run,tote_sequence,item_sequence,item_sequence_length,replication
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,algorithm2_tote_overlap,smart_active_need_weighted,critical_first,217.5,133.63636363636363,11,11,True,False,"[1, 2, 13, 11, 12, 9, 0, 5, 6, 10, 7]","[4, 4, 6, 6, 0, 3, 3, 3, 6, 6, 1, 1, 1, 6, 6, 1, 2, 2, 2, 2, 0, 0, 0, 3, 3, 3, 1, 1, 6, 2, 2, 2, 2, 6, 6, 1, 1, 4, 1, 3, 1, 1, 5, 5, 6]",45,1
13,run_13_algorithm3_itemtype_overlap_smart_active_need_fixed,algorithm3_itemtype_overlap,smart_active_need,fixed,37.5,37.5,1,11,False,True,"[13, 1, 2]","[6, 6, 1, 2, 2, 2, 2, 6, 6, 4, 4, 0, 3, 3, 3, 6]",16,1
14,run_14_algorithm3_itemtype_overlap_smart_active_need_critical_first,algorithm3_itemtype_overlap,smart_active_need,critical_first,37.5,37.5,1,11,False,True,"[13, 1, 2]","[6, 6, 1, 2, 2, 2, 2, 6, 6, 4, 4, 0, 3, 3, 3, 1, 1, 1, 6]",19,1
15,run_15_algorithm3_itemtype_overlap_smart_active_need_weighted_fixed,algorithm3_itemtype_overlap,smart_active_need_weighted,fixed,431.25,225.0,4,11,False,True,"[1, 13, 12, 11, 9, 0, 10, 2]","[6, 6, 4, 4, 0, 3, 3, 3, 6, 6, 1, 2, 2, 2, 2, 1, 1, 6, 2, 2, 2, 0, 0, 0, 3, 3, 3, 6, 6, 2, 1, 1, 1, 1, 6]",35,1
16,run_16_algorithm3_itemtype_overlap_smart_active_need_weighted_critical_first,algorithm3_itemtype_overlap,smart_active_need_weighted,critical_first,881.25,603.4090909090909,11,11,True,False,"[1, 13, 12, 11, 9, 0, 10, 2, 5, 6, 7]","[6, 6, 4, 4, 0, 3, 3, 3, 6, 6, 1, 2, 2, 2, 2, 1, 1, 6, 2, 2, 2, 0, 0, 0, 3, 3, 3, 6, 6, 2, 1, 1, 1, 1, 1, 1, 1, 6, 6, 4, 3, 1, 5, 5, 6]",45,1
17,run_17_algorithm4_combined_overlap_smart_active_need_fixed,algorithm4_combined_overlap,smart_active_need,fixed,386.25,241.70454545454547,11,11,True,False,"[13, 2, 9, 0, 1, 12, 11, 5, 6, 7, 10]","[6, 6, 1, 2, 2, 2, 2, 6, 6, 1, 1, 1, 6, 6, 2, 1, 1, 6, 6, 4, 4, 0, 3, 3, 3, 1, 1, 6, 2, 2, 2, 0, 0, 0, 3, 3, 3, 4, 1, 3, 5, 5, 6, 1, 1]",45,1
18,run_18_algorithm4_combined_overlap_smart_active_need_critical_first,algorithm4_combined_overlap,smart_active_need,critical_first,371.25,228.75,11,11,True,False,"[13, 2, 9, 0, 1, 12, 11, 5, 6, 7, 10]","[6, 6, 1, 2, 2, 2, 2, 6, 6, 1, 1, 1, 6, 6, 2, 1, 1, 4, 4, 6, 6, 0, 3, 3, 3, 1, 1, 6, 2, 2, 2, 0, 0, 0, 3, 3, 3, 4, 1, 3, 5, 5, 6, 1, 1]",45,1
19,run_19_algorithm4_combined_overlap_smart_active_need_weighted_fixed,algorithm4_combined_overlap,smart_active_need_weighted,fixed,123.75,76.25,3,11,False,True,"[13, 2, 1, 12]","[6, 6, 1, 2, 2, 2, 2, 6, 6, 1, 1, 1, 6, 6, 4, 4, 0, 3, 3, 3, 1, 1, 6, 2]",24,1
20,run_20_algorithm4_combined_overlap_smart_active_need_weighted_critical_first,algorithm4_combined_overlap,smart_active_need_weighted,critical_first,101.25,63.75,3,11,False,True,"[13, 2, 1, 12]","[6, 6, 1, 2, 2, 2, 2, 6, 6, 1, 1, 1, 4, 4, 6, 6, 0, 3, 3, 3, 1, 1, 6, 2]",24,1
1,run_1_fifo_all_fifo_fixed,fifo_all,fifo,fixed,187.5,108.75,2,11,False,True,"[0, 1, 2, 3, 5, 6, 8]","[5, 5, 4, 4, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 3, 3, 2, 2, 2, 0, 4, 4, 4, 3]",24,2
2,run_2_algorithm1_load_balance_smart_active_need_fixed,algorithm1_load_balance,smart_active_need,fixed,266.25,204.54545454545453,11,11,True,False,"[5, 10, 9, 12, 6, 3, 8, 11, 13, 2, 0, 1]","[1, 1, 1, 3, 3, 2, 2, 2, 0, 5, 1, 1, 4, 4, 4, 4, 4, 6, 6, 6, 0, 0, 0, 5, 5, 5, 1, 1, 1, 4, 4, 4, 4, 4, 4, 1, 1, 3, 5, 5, 5, 3, 5, 5, 5, 0, 3, 3, 3, 5, 5, 5, 5, 1, 1, 5, 5, 4, 4]",59,2
3,run_3_algorithm1_load_balance_smart_active_need_critical_first,algorithm1_load_balance,smart_active_need,critical_first,292.5,201.13636363636363,11,11,True,False,"[5, 10, 9, 12, 6, 13, 2, 8, 0, 1, 3, 11]","[1, 1, 1, 3, 3, 2, 2, 2, 0, 4, 4, 4, 4, 4, 6, 6, 6, 5, 1, 1, 0, 0, 0, 5, 5, 5, 1, 1, 1, 4, 4, 4, 4, 4, 4, 5, 3, 3, 3, 1, 1, 5, 5, 5, 3, 5, 5, 5, 5, 5, 4, 4, 1, 1, 3, 5, 5, 5, 0]",59,2
4,run_4_algorithm1_load_balance_smart_active_need_weighted_fixed,algorithm1_load_balance,smart_active_need_weighted,fixed,285.0,199.0909090909091,11,11,True,False,"[5, 9, 10, 6, 12, 13, 2, 3, 0, 1, 11, 8]","[1, 1, 1, 3, 3, 2, 2, 2, 0, 0, 0, 0, 5, 5, 5, 5, 1, 1, 4, 4, 4, 4, 4, 6, 6, 6, 4, 4, 4, 1, 1, 1, 4, 4, 4, 3, 3, 3, 5, 5, 5, 5, 1, 1, 1, 1, 5, 5, 4, 4, 3, 5, 5, 5, 0, 3, 5, 5, 5]",59,2
5,run_5_algorithm1_load_balance_smart_active_need_weighted_critical_first,algorithm1_load_balance,smart_active_need_weighted,critical_first,292.5,192.95454545454547,11,11,True,False,"[5, 9, 10, 6, 12, 13, 2, 0, 1, 3, 8, 11]","[1, 1, 1, 3, 3, 2, 2, 2, 0, 0, 0, 0, 5, 5, 5, 1, 1, 4, 4, 4, 4, 4, 6, 6, 6, 5, 4, 4, 4, 1, 1, 1, 4, 4, 4, 5, 3, 3, 3, 1, 1, 5, 5, 5, 5, 5, 4, 4, 1, 1, 3, 5, 5, 5, 3, 5, 5, 5, 0]",59,2
6,run_6_algorithm1b_stratified_balance_smart_active_need_fixed,algorithm1b_stratified_balance,smart_active_need,fixed,270.0,151.875,4,11,False,True,"[5, 10, 9, 11, 2]","[1, 1, 1, 3, 3, 2, 2, 2, 0, 5, 1, 1, 4, 4, 4, 4, 4, 6, 6, 6, 0, 0, 0, 5, 5, 5, 3, 5, 5, 5, 0, 5, 5, 5, 1, 1]",36,2
7,run_7_algorithm1b_stratified_balance_smart_active_need_critical_first,algorithm1b_stratified_balance,smart_active_need,critical_first,266.25,143.4375,4,11,False,True,"[5, 10, 9, 11, 2]","[0, 1, 1, 1, 3, 3, 2, 2, 2, 1, 1, 4, 4, 4, 4, 4, 5, 6, 6, 6, 0, 0, 0, 5, 5, 5, 3, 5, 5, 5, 0, 5, 5, 5, 1, 1]",36,2
8,run_8_algorithm1b_stratified_balance_smart_active_need_weighted_fixed,algorithm1b_stratified_balance,smart_active_need_weighted,fixed,468.75,302.04545454545456,11,11,True,False,"[11, 10, 12, 5, 2, 8, 13, 0, 1, 9, 3, 6]","[3, 5, 5, 5, 0, 5, 1, 1, 4, 4, 4, 4, 4, 6, 6, 6, 1, 1, 1, 4, 4, 4, 1, 1, 1, 3, 3, 2, 2, 2, 0, 5, 5, 5, 1, 1, 3, 5, 5, 5, 3, 3, 3, 5, 5, 5, 4, 4, 0, 0, 0, 5, 5, 5, 1, 1, 4, 4, 4]",59,2
9,run_9_algorithm1b_stratified_balance_smart_active_need_weighted_critical_first,algorithm1b_stratified_balance,smart_active_need_weighted,critical_first,446.25,286.3636363636364,11,11,True,False,"[11, 10, 12, 5, 2, 8, 13, 0, 1, 9, 3, 6]","[3, 5, 5, 5, 0, 1, 1, 4, 4, 4, 4, 4, 5, 6, 6, 6, 1, 1, 1, 4, 4, 4, 0, 1, 1, 1, 3, 3, 2, 2, 2, 5, 5, 5, 1, 1, 3, 5, 5, 5, 5, 3, 3, 3, 5, 5, 4, 4, 0, 0, 0, 5, 5, 5, 1, 1, 4, 4, 4]",59,2
10,run_10_algorithm2_tote_overlap_smart_active_need_fixed,algorithm2_tote_overlap,smart_active_need,fixed,270.0,158.52272727272728,11,11,True,False,"[10, 2, 13, 5, 9, 11, 8, 6, 3, 0, 1, 12]","[5, 1, 1, 4, 4, 4, 4, 4, 6, 6, 6, 5, 5, 5, 1, 1, 3, 3, 3, 5, 1, 1, 1, 3, 3, 2, 2, 2, 0, 0, 0, 0, 5, 5, 5, 3, 5, 5, 5, 0, 3, 5, 5, 5, 4, 4, 4, 1, 1, 5, 5, 4, 4, 1, 1, 1, 4, 4, 4]",59,2
11,run_11_algorithm2_tote_overlap_smart_active_need_critical_first,algorithm2_tote_overlap,smart_active_need,critical_first,270.0,159.20454545454547,11,11,True,False,"[10, 2, 13, 5, 9, 11, 8, 6, 3, 0, 1, 12]","[5, 4, 4, 4, 4, 4, 6, 6, 6, 1, 1, 1, 1, 5, 5, 5, 3, 3, 3, 5, 1, 1, 1, 3, 3, 2, 2, 2, 0, 0, 0, 0, 5, 5, 5, 3, 5, 5, 5, 0, 3, 5, 5, 5, 4, 4, 4, 1, 1, 5, 5, 4, 4, 1, 1, 1, 4, 4, 4]",59,2
12,run_12_algorithm2_tote_overlap_smart_active_need_weighted_fixed,algorithm2_tote_overlap,smart_active_need_weighted,fixed,232.5,149.6590909090909,11,11,True,False,"[10, 2, 13, 5, 11, 9, 3, 6, 12, 8, 0, 1]","[5, 1, 1, 4, 4, 4, 4, 4, 6, 6, 6, 5, 5, 5, 1, 1, 3, 3, 3, 5, 1, 1, 1, 3, 3, 2, 2, 2, 0, 3, 5, 5, 5, 0, 0, 0, 0, 5, 5, 5, 1, 1, 4, 4, 4, 1, 1, 1, 4, 4, 4, 3, 5, 5, 5, 5, 5, 4, 4]",59,2
13,run_13_algorithm2_tote_overlap_smart_active_need_weighted_critical_first,algorithm2_tote_overlap,smart_active_need_weighted,critical_first,232.5,150.3409090909091,11,11,True,False,"[10, 2, 13, 5, 11, 9, 3, 6, 12, 8, 0, 1]","[5, 4, 4, 4, 4, 4, 6, 6, 6, 1, 1, 1, 1, 5, 5, 5, 3, 3, 3, 5, 1, 1, 1, 3, 3, 2, 2, 2, 0, 3, 5, 5, 5, 0, 0, 0, 0, 5, 5, 5, 1, 1, 4, 4, 4, 1, 1, 1, 4, 4, 4, 3, 5, 5, 5, 5, 5, 4, 4]",59,2
14,run_14_algorithm3_itemtype_overlap_smart_active_need_fixed,algorithm3_itemtype_overlap,smart_active_need,fixed,446.25,325.90909090909093,11,11,True,False,"[10, 9, 12, 11, 13, 2, 8, 6, 0, 1, 3, 5]","[5, 1, 1, 4, 4, 4, 4, 4, 6, 6, 6, 0, 0, 0, 5, 5, 5, 1, 1, 1, 4, 4, 4, 3, 5, 5, 5, 0, 3, 3, 3, 5, 5, 5, 5, 1, 1, 3, 5, 5, 5, 4, 4, 4, 5, 5, 4, 4, 1, 1, 1, 1, 1, 3, 3, 2, 2, 2, 0]",59,2
15,run_15_algorithm3_itemtype_overlap_smart_active_need_critical_first,algorithm3_itemtype_overlap,smart_active_need,critical_first,438.75,326.9318181818182,11,11,True,False,"[10, 9, 12, 11, 13, 2, 8, 6, 0, 1, 3, 5]","[1, 1, 4, 4, 4, 4, 4, 5, 6, 6, 6, 0, 0, 0, 5, 5, 5, 1, 1, 1, 4, 4, 4, 3, 5, 5, 5, 0, 5, 3, 3, 3, 5, 5, 5, 1, 1, 3, 5, 5, 5, 4, 4, 4, 5, 5, 4, 4, 1, 1, 0, 1, 1, 1, 3, 3, 2, 2, 2]",59,2
16,run_16_algorithm3_itemtype_overlap_smart_active_need_weighted_fixed,algorithm3_itemtype_overlap,smart_active_need_weighted,fixed,307.5,213.4090909090909,11,11,True,False,"[9, 12, 10, 11, 6, 2, 3, 13, 5, 8, 0, 1]","[0, 0, 0, 5, 5, 5, 1, 1, 1, 4, 4, 4, 5, 1, 1, 4, 4, 4, 4, 4, 6, 6, 6, 3, 5, 5, 5, 0, 4, 4, 4, 5, 5, 5, 1, 1, 1, 1, 3, 3, 3, 5, 1, 1, 1, 3, 3, 2, 2, 2, 0, 3, 5, 5, 5, 5, 5, 4, 4]",59,2
17,run_17_algorithm3_itemtype_overlap_smart_active_need_weighted_critical_first,algorithm3_itemtype_overlap,smart_active_need_weighted,critical_first,307.5,212.72727272727272,11,11,True,False,"[9, 12, 10, 11, 6, 2, 3, 13, 5, 8, 0, 1]","[0, 0, 0, 5, 5, 5, 1, 1, 1, 4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 5, 6, 6, 6, 3, 5, 5, 5, 0, 4, 4, 4, 5, 5, 5, 1, 1, 1, 1, 5, 3, 3, 3, 1, 1, 1, 3, 3, 2, 2, 2, 0, 3, 5, 5, 5, 5, 5, 4, 4]",59,2
18,run_18_algorithm4_combined_overlap_smart_active_need_fixed,algorithm4_combined_overlap,smart_active_need,fixed,270.0,158.52272727272728,11,11,True,False,"[10, 2, 13, 5, 9, 11, 8, 6, 3, 0, 1, 12]","[5, 1, 1, 4, 4, 4, 4, 4, 6, 6, 6, 5, 5, 5, 1, 1, 3, 3, 3, 5, 1, 1, 1, 3, 3, 2, 2, 2, 0, 0, 0, 0, 5, 5, 5, 3, 5, 5, 5, 0, 3, 5, 5, 5, 4, 4, 4, 1, 1, 5, 5, 4, 4, 1, 1, 1, 4, 4, 4]",59,2
19,run_19_algorithm4_combined_overlap_smart_active_need_critical_first,algorithm4_combined_overlap,smart_active_need,critical_first,270.0,159.20454545454547,11,11,True,False,"[10, 2, 13, 5, 9, 11, 8, 6, 3, 0, 1, 12]","[5, 4, 4, 4, 4, 4, 6, 6, 6, 1, 1, 1, 1, 5, 5, 5, 3, 3, 3, 5, 1, 1, 1, 3, 3, 2, 2, 2, 0, 0, 0, 0, 5, 5, 5, 3, 5, 5, 5, 0, 3, 5, 5, 5, 4, 4, 4, 1, 1, 5, 5, 4, 4, 1, 1, 1, 4, 4, 4]",59,2
20,run_20_algorithm4_combined_overlap_smart_active_need_weighted_fixed,algorithm4_combined_overlap,smart_active_need_weighted,fixed,232.5,149.6590909090909,11,11,True,False,"[10, 2, 13, 5, 11, 9, 3, 6, 12, 8, 0, 1]","[5, 1, 1, 4, 4, 4, 4, 4, 6, 6, 6, 5, 5, 5, 1, 1, 3, 3, 3, 5, 1, 1, 1, 3, 3, 2, 2, 2, 0, 3, 5, 5, 5, 0, 0, 0, 0, 5, 5, 5, 1, 1, 4, 4, 4, 1, 1, 1, 4, 4, 4, 3, 5, 5, 5, 5, 5, 4, 4]",59,2
21,run_21_algorithm4_combined_overlap_smart_active_need_weighted_critical_first,algorithm4_combined_overlap,smart_active_need_weighted,critical_first,232.5,150.3409090909091,11,11,True,False,"[10, 2, 13, 5, 11, 9, 3, 6, 12, 8, 0, 1]","[5, 4, 4, 4, 4, 4, 6, 6, 6, 1, 1, 1, 1, 5, 5, 5, 3, 3, 3, 5, 1, 1, 1, 3, 3, 2, 2, 2, 0, 3, 5, 5, 5, 0, 0, 0, 0, 5, 5, 5, 1, 1, 4, 4, 4, 1, 1, 1, 4, 4, 4, 3, 5, 5, 5, 5, 5, 4, 4]",59,2
1,run_1_fifo_all_fifo_fixed,fifo_all,fifo,fixed,172.5,108.0,5,11,False,True,"[0, 1, 2, 4, 5, 6, 7, 8, 10]","[5, 5, 5, 6, 6, 6, 3, 1, 1, 1, 4, 4, 4, 2, 2, 6, 6, 6, 1, 1, 1, 0, 3, 3, 3, 5, 5, 6, 6, 6, 1, 0, 0]",33,3
2,run_2_algorithm1_load_balance_smart_active_need_fixed,algorithm1_load_balance,smart_active_need,fixed,251.25,182.38636363636363,11,11,True,False,"[12, 4, 1, 5, 7, 11, 8, 10, 13, 0, 2, 6]","[3, 3, 3, 1, 1, 1, 4, 4, 4, 2, 2, 6, 6, 6, 5, 6, 6, 6, 1, 1, 1, 3, 3, 3, 0, 0, 4, 4, 3, 3, 5, 5, 6, 6, 6, 1, 0, 0, 0, 2, 3, 3, 3, 5, 5, 3, 1, 1, 1, 0]",50,3
3,run_3_algorithm1_load_balance_smart_active_need_critical_first,algorithm1_load_balance,smart_active_need,critical_first,251.25,181.70454545454547,11,11,True,False,"[12, 4, 1, 5, 7, 11, 8, 10, 13, 0, 2, 6]","[3, 3, 3, 1, 1, 1, 4, 4, 4, 2, 2, 6, 6, 6, 5, 6, 6, 6, 1, 1, 1, 3, 3, 3, 4, 4, 3, 3, 0, 0, 5, 5, 6, 6, 6, 1, 0, 0, 0, 2, 3, 3, 3, 5, 5, 3, 1, 1, 1, 0]",50,3
4,run_4_algorithm1_load_balance_smart_active_need_weighted_fixed,algorithm1_load_balance,smart_active_need_weighted,fixed,341.25,231.13636363636363,11,11,True,False,"[4, 12, 5, 8, 11, 10, 13, 0, 1, 2, 6, 7]","[4, 4, 4, 2, 2, 6, 6, 6, 3, 3, 3, 1, 1, 1, 1, 1, 1, 5, 5, 6, 6, 6, 0, 0, 4, 4, 3, 3, 1, 0, 0, 0, 2, 3, 3, 3, 5, 5, 5, 6, 6, 6, 3, 1, 1, 1, 0, 3, 3, 3]",50,3
5,run_5_algorithm1_load_balance_smart_active_need_weighted_critical_first,algorithm1_load_balance,smart_active_need_weighted,critical_first,341.25,229.0909090909091,11,11,True,False,"[4, 12, 5, 8, 11, 10, 13, 0, 1, 2, 6, 7]","[4, 4, 4, 2, 2, 6, 6, 6, 3, 3, 3, 1, 1, 1, 1, 1, 1, 5, 5, 6, 6, 6, 4, 4, 3, 3, 0, 0, 1, 0, 0, 0, 2, 3, 3, 3, 5, 5, 5, 6, 6, 6, 3, 1, 1, 1, 0, 3, 3, 3]",50,3
6,run_6_algorithm1b_stratified_balance_smart_active_need_fixed,algorithm1b_stratified_balance,smart_active_need,fixed,303.75,210.3409090909091,11,11,True,False,"[12, 4, 1, 5, 7, 8, 11, 13, 0, 2, 6, 10]","[3, 3, 3, 1, 1, 1, 4, 4, 4, 2, 2, 6, 6, 6, 5, 6, 6, 6, 1, 1, 1, 3, 3, 3, 5, 5, 6, 6, 6, 0, 0, 4, 4, 3, 3, 3, 3, 3, 5, 5, 3, 1, 1, 1, 0, 1, 0, 0, 0, 2]",50,3
