Combo,Metric,n,Mean,Std Dev,CI95 LB,CI95 UB,Min,Max
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,Avg Order Time,20,193.4659,116.766347,138.8176,248.1142,99.8864,603.4091
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,Throughput Rate,20,0.1729,0.050896,0.149,0.1967,0.0511,0.2341
algorithm3_itemtype_overlap | smart_active_need | critical_first,Makespan,18,298.3333,129.962523,233.7045,362.9622,153.75,671.25
algorithm3_itemtype_overlap | smart_active_need | critical_first,Avg Order Time,18,206.25,100.49178,156.2766,256.2234,110.7955,494.3182
algorithm3_itemtype_overlap | smart_active_need | critical_first,Throughput Rate,18,0.1642,0.046274,0.1412,0.1872,0.0685,0.2364
algorithm1b_stratified_balance | smart_active_need | critical_first,Makespan,15,303.0,143.071224,223.7698,382.2302,168.75,735.0
algorithm1b_stratified_balance | smart_active_need | critical_first,Avg Order Time,15,203.25,109.551246,142.5825,263.9175,95.7955,533.8636
algorithm1b_stratified_balance | smart_active_need | critical_first,Throughput Rate,15,0.1527,0.046982,0.1267,0.1788,0.0626,0.2311
algorithm1b_stratified_balance | smart_active_need | fixed,Makespan,14,305.3571,142.892029,222.8537,387.8605,168.75,720.0
algorithm1b_stratified_balance | smart_active_need | fixed,Avg Order Time,14,208.6364,111.937804,144.0054,273.2673,96.4773,530.4545
algorithm1b_stratified_balance | smart_active_need | fixed,Throughput Rate,14,0.1526,0.045718,0.1262,0.179,0.0639,0.2311
algorithm3_itemtype_overlap | smart_active_need | fixed,Makespan,18,305.625,136.185056,237.9018,373.3482,153.75,682.5
algorithm3_itemtype_overlap | smart_active_need | fixed,Avg Order Time,18,214.697,103.914335,163.0216,266.3724,112.5,504.5455
algorithm3_itemtype_overlap | smart_active_need | fixed,Throughput Rate,18,0.1618,0.047825,0.138,0.1856,0.0674,0.2364
algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,Makespan,14,326.7857,133.734915,249.5695,404.002,168.75,573.75
algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,Avg Order Time,14,200.0893,77.563831,155.3053,244.8733,95.7955,342.2727
algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,Throughput Rate,14,0.1504,0.051894,0.1204,0.1803,0.0715,0.2311
algorithm1b_stratified_balance | smart_active_need_weighted | fixed,Makespan,14,355.1786,152.101352,267.3579,442.9993,168.75,652.5
algorithm1b_stratified_balance | smart_active_need_weighted | fixed,Avg Order Time,14,225.2192,91.591012,172.3361,278.1022,96.4773,397.8409
algorithm1b_stratified_balance | smart_active_need_weighted | fixed,Throughput Rate,14,0.1406,0.051661,0.1108,0.1705,0.0667,0.2311
