combo_A,combo_B,n,mean_diff,ci95_diff,t_stat,p_value,sig,winner
fifo_all | fifo | fixed,algorithm3_itemtype_overlap | smart_active_need | fixed,3,26.25,"[-379.8039, 432.3039]",0.2782,0.807014,✗,—
fifo_all | fifo | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,3,-101.25,"[-347.7154, 145.2154]",-1.7676,0.219166,✗,—
fifo_all | fifo | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,3,-126.25,"[-439.3031, 186.8031]",-1.7352,0.224841,✗,—
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need | critical_first,17,-26.4706,"[-58.2726, 5.3314]",-1.7645,0.096724,✗,—
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need | critical_first,14,-23.8393,"[-99.9963, 52.3177]",-0.6763,0.510731,✗,—
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need | fixed,13,-17.8846,"[-93.9885, 58.2193]",-0.512,0.617924,✗,—
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need | fixed,17,-33.5294,"[-67.0459, -0.0129]",-2.1207,0.049922,✓,A
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,13,-4.0385,"[-141.4867, 133.4098]",-0.064,0.950011,✗,—
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,13,-28.5577,"[-165.5415, 108.4261]",-0.4542,0.657771,✗,—
algorithm3_itemtype_overlap | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need | critical_first,13,-23.9423,"[-77.5564, 29.6718]",-0.973,0.349765,✗,—
algorithm3_itemtype_overlap | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need | fixed,12,-17.1875,"[-58.5866, 24.2116]",-0.9138,0.380428,✗,—
algorithm3_itemtype_overlap | smart_active_need | critical_first,algorithm3_itemtype_overlap | smart_active_need | fixed,18,-7.2917,"[-19.8335, 5.2502]",-1.2266,0.236685,✗,—
algorithm3_itemtype_overlap | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,11,-28.2955,"[-108.8209, 52.2300]",-0.7829,0.451808,✗,—
algorithm3_itemtype_overlap | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,11,-59.3182,"[-135.8134, 17.1770]",-1.7278,0.114719,✗,—
algorithm1b_stratified_balance | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need | fixed,14,-7.5,"[-16.7253, 1.7253]",-1.7563,0.102544,✗,—
algorithm1b_stratified_balance | smart_active_need | critical_first,algorithm3_itemtype_overlap | smart_active_need | fixed,13,13.8462,"[-47.6830, 75.3754]",0.4903,0.632759,✗,—
algorithm1b_stratified_balance | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,12,-14.0625,"[-99.7900, 71.6650]",-0.361,0.724905,✗,—
algorithm1b_stratified_balance | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,12,-40.9375,"[-124.9092, 43.0342]",-1.073,0.306241,✗,—
algorithm1b_stratified_balance | smart_active_need | fixed,algorithm3_itemtype_overlap | smart_active_need | fixed,12,6.25,"[-44.7643, 57.2643]",0.2697,0.792418,✗,—
algorithm1b_stratified_balance | smart_active_need | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,11,-21.4773,"[-109.1041, 66.1496]",-0.5461,0.596959,✗,—
algorithm1b_stratified_balance | smart_active_need | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,11,-46.7045,"[-131.3567, 37.9476]",-1.2293,0.247094,✗,—
algorithm3_itemtype_overlap | smart_active_need | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,11,-12.9545,"[-107.6834, 81.7743]",-0.3047,0.766837,✗,—
algorithm3_itemtype_overlap | smart_active_need | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,11,-43.9773,"[-134.2794, 46.3249]",-1.0851,0.30334,✗,—
algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,14,-28.3929,"[-50.2389, -6.5468]",-2.8078,0.014807,✓,A
