combo_A,combo_B,n,mean_diff,ci95_diff,t_stat,p_value,sig,winner
algorithm1_load_balance | smart_active_need_weighted | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,12,-19.7727,"[-84.4065, 44.8610]",-0.6733,0.514639,✗,—
fifo_all | fifo | fixed,algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,3,17.9545,"[-203.2011, 239.1101]",0.3493,0.760206,✗,—
fifo_all | fifo | fixed,algorithm3_itemtype_overlap | smart_active_need | critical_first,3,-6.7045,"[-292.8376, 279.4285]",-0.1008,0.928891,✗,—
fifo_all | fifo | fixed,algorithm1b_stratified_balance | smart_active_need | critical_first,3,37.7273,"[-61.7797, 137.2342]",1.6313,0.244404,✗,—
fifo_all | fifo | fixed,algorithm1b_stratified_balance | smart_active_need | fixed,3,27.9545,"[-67.6812, 123.5903]",1.2577,0.33546,✗,—
fifo_all | fifo | fixed,algorithm3_itemtype_overlap | smart_active_need | fixed,3,-13.6364,"[-315.4306, 288.1579]",-0.1944,0.863811,✗,—
fifo_all | fifo | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,3,-54.0909,"[-263.4950, 155.3132]",-1.1114,0.382094,✗,—
fifo_all | fifo | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,3,-77.3864,"[-357.6706, 202.8978]",-1.188,0.356801,✗,—
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need | critical_first,17,-25.6684,"[-48.9915, -2.3454]",-2.3331,0.033021,✓,A
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need | critical_first,14,-14.8539,"[-72.4002, 42.6924]",-0.5576,0.586567,✗,—
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need | fixed,13,-14.1084,"[-72.9994, 44.7826]",-0.522,0.611189,✗,—
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need | fixed,17,-34.0107,"[-58.5778, -9.4436]",-2.9348,0.009713,✓,A
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,13,16.4161,"[-77.5397, 110.3719]",0.3807,0.71009,✗,—
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,13,-7.5262,"[-102.5377, 87.4853]",-0.1726,0.865849,✗,—
algorithm3_itemtype_overlap | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need | critical_first,13,-11.1713,"[-52.3600, 30.0173]",-0.5909,0.565522,✗,—
algorithm3_itemtype_overlap | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need | fixed,12,-8.8636,"[-44.3195, 26.5922]",-0.5502,0.593162,✗,—
algorithm3_itemtype_overlap | smart_active_need | critical_first,algorithm3_itemtype_overlap | smart_active_need | fixed,18,-8.447,"[-17.4336, 0.5396]",-1.9831,0.063749,✗,—
algorithm3_itemtype_overlap | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,11,15.8058,"[-41.0380, 72.6495]",0.6195,0.54941,✗,—
algorithm3_itemtype_overlap | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,11,-9.2665,"[-64.2631, 45.7301]",-0.3754,0.715185,✗,—
algorithm1b_stratified_balance | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need | fixed,14,-9.6185,"[-15.8325, -3.4045]",-3.344,0.005282,✓,A
algorithm1b_stratified_balance | smart_active_need | critical_first,algorithm3_itemtype_overlap | smart_active_need | fixed,13,0.1836,"[-45.5893, 45.9565]",0.0087,0.993172,✗,—
algorithm1b_stratified_balance | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,12,11.3352,"[-49.8840, 72.5545]",0.4075,0.691438,✗,—
algorithm1b_stratified_balance | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,12,-12.9261,"[-73.0855, 47.2332]",-0.4729,0.645519,✗,—
algorithm1b_stratified_balance | smart_active_need | fixed,algorithm3_itemtype_overlap | smart_active_need | fixed,12,-3.0682,"[-42.5422, 36.4058]",-0.1711,0.867271,✗,—
algorithm1b_stratified_balance | smart_active_need | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,11,12.2727,"[-52.0520, 76.5974]",0.4251,0.679756,✗,—
algorithm1b_stratified_balance | smart_active_need | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,11,-10.5372,"[-72.3586, 51.2842]",-0.3798,0.712052,✗,—
algorithm3_itemtype_overlap | smart_active_need | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,11,28.6983,"[-33.9110, 91.3077]",1.0213,0.331177,✗,—
algorithm3_itemtype_overlap | smart_active_need | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,11,3.626,"[-55.7279, 62.9800]",0.1361,0.894427,✗,—
algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,14,-25.1299,"[-42.5175, -7.7422]",-3.1223,0.008092,✓,A
