combo_A,combo_B,n,mean_diff,ci95_diff,t_stat,p_value,sig,winner
algorithm1_load_balance | smart_active_need_weighted | fixed,algorithm3_itemtype_overlap | smart_active_need | fixed,14,0.0005,"[-0.0250, 0.0260]",0.0406,0.968248,✗,—
algorithm1_load_balance | smart_active_need_weighted | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,12,0.0051,"[-0.0325, 0.0426]",0.2968,0.772156,✗,—
algorithm1_load_balance | smart_active_need_weighted | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,12,0.0155,"[-0.0255, 0.0564]",0.8317,0.423286,✗,—
fifo_all | fifo | fixed,algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,3,-0.0338,"[-0.2233, 0.1557]",-0.7674,0.523055,✗,—
fifo_all | fifo | fixed,algorithm3_itemtype_overlap | smart_active_need | critical_first,3,-0.0164,"[-0.1715, 0.1388]",-0.4535,0.694643,✗,—
fifo_all | fifo | fixed,algorithm1b_stratified_balance | smart_active_need | critical_first,3,-0.0375,"[-0.0960, 0.0209]",-2.7658,0.109644,✗,—
fifo_all | fifo | fixed,algorithm1b_stratified_balance | smart_active_need | fixed,3,-0.031,"[-0.0783, 0.0162]",-2.8243,0.105837,✗,—
fifo_all | fifo | fixed,algorithm3_itemtype_overlap | smart_active_need | fixed,3,-0.0194,"[-0.2518, 0.2130]",-0.3591,0.753859,✗,—
fifo_all | fifo | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,3,0.0164,"[-0.0515, 0.0843]",1.0411,0.407146,✗,—
fifo_all | fifo | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,3,0.0196,"[-0.0567, 0.0959]",1.1077,0.383379,✗,—
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need | critical_first,17,0.0118,"[-0.0086, 0.0322]",1.2236,0.238802,✗,—
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need | critical_first,14,0.0207,"[-0.0184, 0.0598]",1.1417,0.274156,✗,—
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need | fixed,13,0.0173,"[-0.0207, 0.0553]",0.9914,0.341083,✗,—
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm3_itemtype_overlap | smart_active_need | fixed,17,0.0143,"[-0.0069, 0.0354]",1.4304,0.171841,✗,—
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,13,0.0205,"[-0.0254, 0.0664]",0.9722,0.350132,✗,—
algorithm3_itemtype_overlap | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,13,0.0302,"[-0.0160, 0.0765]",1.4241,0.179904,✗,—
algorithm3_itemtype_overlap | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need | critical_first,13,0.014,"[-0.0149, 0.0428]",1.0558,0.311849,✗,—
algorithm3_itemtype_overlap | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need | fixed,12,0.0101,"[-0.0115, 0.0317]",1.028,0.326012,✗,—
algorithm3_itemtype_overlap | smart_active_need | critical_first,algorithm3_itemtype_overlap | smart_active_need | fixed,18,0.0024,"[-0.0052, 0.0100]",0.6695,0.512166,✗,—
algorithm3_itemtype_overlap | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,11,0.0135,"[-0.0224, 0.0495]",0.8378,0.421725,✗,—
algorithm3_itemtype_overlap | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,11,0.0237,"[-0.0101, 0.0575]",1.5601,0.149793,✗,—
algorithm1b_stratified_balance | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need | fixed,14,0.0046,"[0.0002, 0.0090]",2.2488,0.042498,✓,B
algorithm1b_stratified_balance | smart_active_need | critical_first,algorithm3_itemtype_overlap | smart_active_need | fixed,13,-0.0105,"[-0.0439, 0.0230]",-0.6827,0.507766,✗,—
algorithm1b_stratified_balance | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,12,0.0046,"[-0.0226, 0.0319]",0.3747,0.715007,✗,—
algorithm1b_stratified_balance | smart_active_need | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,12,0.0137,"[-0.0103, 0.0378]",1.2569,0.234814,✗,—
algorithm1b_stratified_balance | smart_active_need | fixed,algorithm3_itemtype_overlap | smart_active_need | fixed,12,-0.0063,"[-0.0346, 0.0220]",-0.4903,0.633531,✗,—
algorithm1b_stratified_balance | smart_active_need | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,11,0.0061,"[-0.0219, 0.0342]",0.4866,0.637039,✗,—
algorithm1b_stratified_balance | smart_active_need | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,11,0.0142,"[-0.0092, 0.0376]",1.3525,0.205997,✗,—
algorithm3_itemtype_overlap | smart_active_need | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,11,0.008,"[-0.0382, 0.0542]",0.3857,0.70778,✗,—
algorithm3_itemtype_overlap | smart_active_need | fixed,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,11,0.0181,"[-0.0259, 0.0622]",0.9175,0.380489,✗,—
algorithm1b_stratified_balance | smart_active_need_weighted | critical_first,algorithm1b_stratified_balance | smart_active_need_weighted | fixed,14,0.0097,"[-0.0004, 0.0199]",2.0672,0.05923,✗,—
